word,pinyin,definition
大方,da4 fang1,expert/scholar/mother earth/a type of green tea
上方,shang4 fang1,place above (it)/upper part (of it)
多年,duo1 nian2,many years/for many years/longstanding
多种,duo1 zhong3,many kinds of; multiple; diverse; multi-
大多,da4 duo1,for the most part/many/most/the greater part/mostly
多年来,duo1 nian2 lai2,for the past many years
经过,jing1 guo4,to pass/to go through/process/course/CL:個|个[ge4]
一经,yi1 jing1,as soon as/once (an action has been completed)
多么,duo1 me5,how (wonderful etc)/what (a great idea etc)/however (difficult it may be etc)/(in interrogative sentences) how (much etc)/to what extent
那么,na4 me5,like that/in that way/or so/so/so very much/about/in that case
这么,zhe4 me5,so much/this much/how much?/this way/like this
要么,yao4 me5,or/either one or the other
下去,xia4 qu4,to go down/to descend/to go on/to continue/(of a servant) to withdraw
去年,qu4 nian2,last year
出去,chu1 qu4,to go out
过不去,guo4 bu5 qu4,to make life difficult for/to embarrass/unable to make it through
上去,shang4 qu4,to go up
说法,shuo1 fa3,to expound Buddhist teachings
用法,yong4 fa3,usage
方法,fang1 fa3,method/way/means/CL:個|个[ge4]
学时,xue2 shi2,class hour/period
大学,Da4 xue2,"the Great Learning, one of the Four Books 四書|四书[Si4 shu1] in Confucianism"
学年,xue2 nian2,academic year
自学,zi4 xue2,self-study/to study on one's own
学会,xue2 hui4,to learn/to master/institute/learned society/(scholarly) association
国学,guo2 xue2,Chinese national culture/studies of ancient Chinese civilization/the Imperial College (history)
上学,shang4 xue2,to go to school/to attend school
中学,zhong1 xue2,middle school/CL:個|个[ge4]
学说,xue2 shuo1,theory/doctrine
中学生,zhong1 xue2 sheng1,middle-school student/high school student
学子,xue2 zi3,(literary) student/scholar
学生,xue2 sheng5,student/schoolchild
大学生,da4 xue2 sheng1,university student/college student
自如,zi4 ru2,unobstructed/unconstrained/smoothly/with ease/freely
如下,ru2 xia4,as follows
不如,bu4 ru2,not equal to/not as good as/inferior to/it would be better to
如一,ru2 yi1,consistent/the same/unvarying
都会,du1 hui4,city/metropolis
大都,Da4 du1,"Dadu, capital of China during the Yuan Dynasty (1280-1368), modern day Beijing"
同行,tong2 hang2,"person of the same profession/of the same trade, occupation or industry"
同年,tong2 nian2,the same year
同一,tong2 yi1,identical/the same
同人,tong2 ren2,people from the same workplace or profession/co-worker/colleague/pop culture enthusiasts who create fan fiction etc
一同,yi1 tong2,together
如同,ru2 tong2,like/as
不同,bu4 tong2,different/distinct/not the same/not alike
有所不同,you3 suo3 bu4 tong2,to differ to some extent (idiom)
同事,tong2 shi4,"colleague; co-worker/CL:個|个[ge4],位[wei4]"
同学,tong2 xue2,"to study at the same school/fellow student/classmate/CL:位[wei4],個|个[ge4]"
同时,tong2 shi2,at the same time/simultaneously
现有,xian4 you3,currently existing/currently available
出现,chu1 xian4,to appear/to arise/to emerge/to show up
现在,xian4 zai4,now/at present/at the moment/modern/current/nowadays
现成,xian4 cheng2,ready-made/readily available
发现,fa1 xian4,to notice; to become aware of/to discover; to find; to detect/a discovery
现行,xian4 xing2,to be in effect/in force/current
当中,dang1 zhong1,among/in the middle/in the center
当然,dang1 ran2,only natural/as it should be/certainly/of course/without doubt
当成,dang4 cheng2,to consider as; to take to be
当着,dang1 zhe5,in front of/in the presence of
当作,dang4 zuo4,to treat as/to regard as
当地,dang1 di4,local
当时,dang1 shi2,then/at that time/while
得当,de2 dang4,appropriate/suitable
当下,dang1 xia4,immediately/at once/at that moment/at the moment
当事人,dang1 shi4 ren2,persons involved or implicated; party (to an affair)
上当,shang4 dang4,taken in (by sb's deceit)/to be fooled/to be duped
当年,dang1 nian2,in those days/then/in those years/during that time
没说的,mei2 shuo1 de5,nothing to pick on/really good/nothing to discuss/settled matter/no problem
没用,mei2 yong4,useless
有没有,you3 mei2 you3,"(before a noun) Do (you, they etc) have ...?/Is there a ...?/(before a verb) Did (you, they etc) (verb, infinitive)?/Have (you, they etc) (verb, past participle)?"
没有,mei2 you3,haven't/hasn't/doesn't exist/to not have/to not be
生动,sheng1 dong4,vivid/lively
行动,xing2 dong4,operation/action/CL:個|个[ge4]/to move about/mobile
出动,chu1 dong4,to start out on a trip/to dispatch troops
动作,dong4 zuo4,movement; motion; action (CL:個|个[ge4])/to act; to move
自动,zi4 dong4,automatic/voluntarily
发动,fa1 dong4,to start/to launch/to unleash/to mobilize/to arouse
动用,dong4 yong4,to utilize/to put sth to use
一动不动,yi1 dong4 bu4 dong4,motionless
动人,dong4 ren2,touching/moving
动不动,dong4 bu5 dong4,"(typically followed by 就[jiu4]) apt to (lose one's temper, catch a cold etc)/at the drop of a hat"
会面,hui4 mian4,to meet with/meeting
面子,mian4 zi5,outer surface; the outside of sth/social prestige; face
上面,shang4 mian4,on top of/above-mentioned/also pr. [shang4 mian5]
里面,li3 mian4,inside/interior/also pr. [li3 mian5]
后面,hou4 mian5,the back; the rear; the last bit/behind; near the end; at the back/later; afterwards
多方面,duo1 fang1 mian4,many-sided/in many aspects
当面,dang1 mian4,to sb's face/in sb's presence
面对,mian4 dui4,to face; to confront
方方面面,fang1 fang1 mian4 mian4,all sides; all aspects/multifaceted
一面,yi1 mian4,one side/one aspect/simultaneously... (and...)/one's whole face
下面,xia4 mian4,below/under/next/the following/also pr. [xia4 mian5]
对面,dui4 mian4,(sitting) opposite/across (the street)/directly in front/to be face to face
出面,chu1 mian4,to appear personally/to step in/to step forth/to show up
一方面,yi1 fang1 mian4,on the one hand
方面,fang1 mian4,respect/aspect/field/side/CL:個|个[ge4]
面对面,mian4 dui4 mian4,face to face
地面,di4 mian4,floor/ground/surface
起来,qi3 lai5,to stand up/to get up/also pr. [qi3 lai2]
发起,fa1 qi3,"to originate/to initiate/to launch (an attack, an initiative etc)/to start/to propose sth (for the first time)"
起到,qi3 dao4,(in an expression of the form 起到…作用[qi3 dao4 xx5 zuo4 yong4]) to have (a (motivating etc) effect); to play (a (stabilizing etc) role)
一起,yi1 qi3,in the same place/together/with/altogether (in total)
对不起,dui4 bu5 qi3,I'm sorry; excuse me; I beg your pardon/to let (sb) down; to disappoint
了不起,liao3 bu5 qi3,amazing/terrific/extraordinary
对得起,dui4 de5 qi3,not to let sb down/to treat sb fairly/be worthy of
发起人,fa1 qi3 ren2,proposer/initiator/founding member
看中,kan4 zhong4,to have a preference for/to fancy/to choose after consideration/to settle on
看不起,kan4 bu5 qi3,to look down upon/to despise
看起来,kan4 qi3 lai5,seemingly/apparently/looks as if/appear to be/gives the impression that/seems on the face of it to be
看作,kan4 zuo4,to look upon as/to regard as
看得出,kan4 de5 chu1,can see/can tell
看成,kan4 cheng2,to regard as
看得起,kan4 de5 qi3,to show respect for/to think highly of
看来,kan4 lai5,apparently/it seems that
看上去,kan4 shang5 qu5,it would appear/it seems (that)
看出,kan4 chu1,to make out/to see
看法,kan4 fa3,way of looking at a thing/view/opinion/CL:個|个[ge4]
看到,kan4 dao4,to see
一定,yi1 ding4,surely/certainly/necessarily/fixed/a certain (extent etc)/given/particular/must
定时,ding4 shi2,to fix a time/fixed time/timed (of explosive etc)
不定,bu4 ding4,indefinite/indeterminate/(botany) adventitious
说不定,shuo1 bu5 ding4,can't say for sure/maybe
不一定,bu4 yi1 ding4,not necessarily/maybe
天下,tian1 xia4,land under heaven/the whole world/the whole of China/realm/rule
成天,cheng2 tian1,(coll.) all day long/all the time
当天,dang1 tian1,on that day
天上,tian1 shang4,celestial/heavenly
天然,tian1 ran2,natural
后天,hou4 tian1,"the day after tomorrow/life after birth (the period in which one develops through experiences, contrasted with 先天[xian1 tian1])/acquired (not innate or congenital)/a posteriori"
天地,tian1 di4,heaven and earth/world/scope/field of activity
天生,tian1 sheng1,nature/disposition/innate/natural
成分,cheng2 fen4,composition; ingredient; element; component/one's social status/CL:個|个[ge4]
天分,tian1 fen4,natural gift/talent
分成,fen1 cheng2,to divide (into)/to split a bonus/to break into/tenths/percentage allotment
过分,guo4 fen4,excessive/undue/overly
分为,fen1 wei2,to divide sth into (parts)/to subdivide
得分,de2 fen1,to score
学分,xue2 fen1,course credit
还是,hai2 shi5,still (as before)/had better/unexpectedly/or
还有,hai2 you3,furthermore/in addition/still/also
进去,jin4 qu4,to go in
进来,jin4 lai2,to come in
进而,jin4 er2,and then (what follows next)
进行,jin4 xing2,to advance/to conduct/underway/in progress/to do/to carry out/to carry on/to execute
进出,jin4 chu1,to enter or exit/to go through
好事,hao3 shi4,"good action, deed, thing or work (also sarcastic, ""a fine thing indeed"")/charity/happy occasion/Daoist or Buddhist ceremony for the souls of the dead"
好说,hao3 shuo1,easy to deal with; not a problem/(polite answer) you flatter me
要好,yao4 hao3,to be on good terms/to be close friends/striving for self-improvement
好在,hao3 zai4,luckily/fortunately
也好,ye3 hao3,that's fine/may as well/(reduplicated) regardless of whether ... or ...
好人,hao3 ren2,"good person/healthy person/person who tries not to offend anyone, even at the expense of principle"
好多,hao3 duo1,many/quite a lot/much better
好好,hao3 hao3,well/carefully/nicely/properly
好看,hao3 kan4,"good-looking/nice-looking/good (of a movie, book, TV show etc)/embarrassed/humiliated"
好学,hao3 xue2,easy to learn
看好,kan1 hao3,to keep an eye on
小学,xiao3 xue2,elementary school; primary school
中小学,zhong1 xiao3 xue2,middle and elementary school
大小,da4 xiao3,dimension/magnitude/size/measurement/large and small/at any rate/adults and children/consideration of seniority
小时,xiao3 shi2,hour/CL:個|个[ge4]
小人,xiao3 ren2,"person of low social status (old)/I, me (used to refer humbly to oneself)/nasty person/vile character"
小学生,xiao3 xue2 sheng1,"primary school student/schoolchild/CL:個|个[ge4],名[ming2]/(fig.) beginner"
小于,xiao3 yu2,"less than, <"
小看,xiao3 kan4,to look down on/to underestimate
小说,xiao3 shuo1,"novel/fiction/CL:本[ben3],部[bu4]"
中部,zhong1 bu4,middle part/central section
一部分,yi1 bu4 fen5,portion/part of/subset
大部分,da4 bu4 fen5,in large part/the greater part/the majority
部分,bu4 fen5,part/share/section/piece/CL:個|个[ge4]
面部,mian4 bu4,face (body part)
其他,qi2 ta1,other/(sth or sb) else/the rest
其中,qi2 zhong1,among/in/included among these
其后,qi2 hou4,next/later/after that
这些,zhe4 xie1,these
那些,na4 xie1,those
一些,yi1 xie1,some/a few/a little/(following an adjective) slightly ...er
自主,zi4 zhu3,independent/to act for oneself/autonomous
主动,zhu3 dong4,to take the initiative/to do sth of one's own accord/spontaneous/active/opposite: passive 被動|被动[bei4 dong4]/drive (of gears and shafts etc)
主人,zhu3 ren2,master/host/owner/CL:個|个[ge4]
主要,zhu3 yao4,main/principal/major/primary
为主,wei2 zhu3,to rely mainly on/to attach most importance to
这样一来,zhe4 yang4 yi1 lai2,thus/if this happens then
看样子,kan4 yang4 zi5,it seems/it looks as if
一样,yi1 yang4,same/like/equal to/the same as/just like
那样,na4 yang4,that kind/that sort
样子,yang4 zi5,appearance/manner/pattern/model
多样,duo1 yang4,diverse/diversity/manifold
这样,zhe4 yang4,this kind of/so/this way/like this/such
同样,tong2 yang4,same/equal/equivalent
道理,dao4 li5,reason/argument/sense/principle/basis/justification/CL:個|个[ge4]
理所当然,li3 suo3 dang1 ran2,as it should be by rights (idiom); proper and to be expected as a matter of course/inevitable and right
不理,bu4 li3,to refuse to acknowledge/to pay no attention to/to take no notice of/to ignore
自理,zi4 li3,to take care of oneself/to provide for oneself
经理,jing1 li3,"manager/director/CL:個|个[ge4],位[wei4],名[ming2]"
生理,sheng1 li3,physiology
地理,di4 li3,geography
理事,li3 shi4,member of council/(literary) to take care of matters
理发,li3 fa4,to get a haircut; to have one's hair done/to cut (sb's) hair; to give (sb) a haircut
理会,li3 hui4,to understand/to pay attention to/to take notice of
一心,yi1 xin1,wholeheartedly/heart and soul
当心,dang1 xin1,to take care/to look out
中心,zhong1 xin1,center/heart/core/CL:個|个[ge4]
多心,duo1 xin1,oversensitive/suspicious
心事,xin1 shi4,"a load on one's mind/worry/CL:宗[zong1],樁|桩[zhuang1]"
小心,xiao3 xin1,to be careful/to take care
心理,xin1 li3,psychology/mentality
好心人,hao3 xin1 ren2,kindhearted person/good Samaritan
一不小心,yi1 bu4 xiao3 xin1,to be a little bit careless; to have a moment of inattentiveness
心里,xin1 li5,chest/heart/mind
好心,hao3 xin1,kindness/good intentions
心得,xin1 de2,"what one has learned (through experience, reading etc)/knowledge/insight/understanding/tips/CL:項|项[xiang4],個|个[ge4]"
心中,xin1 zhong1,central point/in one's thoughts/in one's heart
用心,yong4 xin1,motive/intention/to be diligent or attentive/careful
她们,ta1 men5,they/them (for females)
本人,ben3 ren2,I; me; myself/oneself; yourself; himself; herself; the person concerned
本子,ben3 zi5,"book/notebook/Japanese-style self-published comic (esp. an erotic one), aka ""dōjinshi""/CL:本[ben3]/edition"
本着,ben3 zhe5,based on.../in conformance with../taking as one's main principle
本地,ben3 di4,local/this locality
本分,ben3 fen4,(to play) one's part/one's role/one's duty/(to stay within) one's bounds/dutiful/keeping to one's role
本来,ben3 lai2,original/originally/at first/it goes without saying/of course
本能,ben3 neng2,instinct
样本,yang4 ben3,sample; specimen
成本,cheng2 ben3,"(manufacturing, production etc) costs"
本事,ben3 shi4,source material/original story
生前,sheng1 qian2,(of a deceased) during one's life/while living
年前,nian2 qian2,by the end of the year/at the end of the year; shortly before New Year
以前,yi3 qian2,before/formerly/previous/ago
前天,qian2 tian1,the day before yesterday
面前,mian4 qian2,in front of/facing/(in the) presence (of)
之前,zhi1 qian2,before/prior to/ago/previously/beforehand
前来,qian2 lai2,to come (formal)/before/previously
前方,qian2 fang1,ahead/the front
前面,qian2 mian4,ahead/in front/preceding/above/also pr. [qian2 mian5]
前年,qian2 nian2,the year before last
前进,qian2 jin4,to go forward/to forge ahead/to advance/onward
当前,dang1 qian2,the present time/to be faced with
前后,qian2 hou4,around/from beginning to end/all around/front and rear
开动,kai1 dong4,to start/to set in motion/to move/to march/to dig in (eating)/to tuck in (eating)
开会,kai1 hui4,to hold a meeting/to attend a meeting
开发,kai1 fa1,to exploit (a resource)/to open up (for development)/to develop
开心,kai1 xin1,to feel happy/to rejoice/to have a great time/to make fun of sb
分开,fen1 kai1,to separate/to part
开学,kai1 xue2,foundation of a University or College/school opening/the start of a new term
但是,dan4 shi4,but; however
不但,bu4 dan4,not only (... but also ...)
因为,yin1 wei4,because/owing to/on account of
因而,yin1 er2,"therefore/as a result/thus/and as a result, ..."
只能,zhi3 neng2,can only/obliged to do sth/to have no other choice
只得,zhi3 de2,to have no alternative but to; to be obliged to
只有,zhi3 you3,"only have .../there is only .../(used in combination with 才[cai2]) it is only if one ... (that one can ...) (Example: 只有通過治療才能痊愈|只有通过治疗才能痊愈[zhi3 you3 tong1 guo4 zhi4 liao2 cai2 neng2 quan2 yu4] ""the only way to cure it is with therapy"")/it is only ... (who ...) (Example: 只有男性才有此需要[zhi3 you3 nan2 xing4 cai2 you3 ci3 xu1 yao4] ""only men would have such a requirement"")/(used to indicate that one has no alternative) one can only (do a certain thing) (Example: 只有屈服[zhi3 you3 qu1 fu2] ""the only thing you can do is give in"")"
只不过,zhi3 bu5 guo4,only/merely/nothing but/no more than/it's just that ...
只要,zhi3 yao4,if only/so long as
只好,zhi3 hao3,to have no other option but to ...; to have to; to be forced to
只是,zhi3 shi4,merely; only; just; nothing but/simply/but; however
从中,cong2 zhong1,from within/therefrom
从不,cong2 bu4,never
从事,cong2 shi4,to go for/to engage in/to undertake/to deal with/to handle/to do
自从,zi4 cong2,since (a time)/ever since
从来不,cong2 lai2 bu4,never
从前,cong2 qian2,previously/formerly/once upon a time
从而,cong2 er2,thus/thereby
从小,cong2 xiao3,from childhood/from a young age
从来,cong2 lai2,always/at all times/never (if used in negative sentence)
从没,cong2 mei2,never (in the past)/never did
没想到,mei2 xiang3 dao4,didn't expect
心想事成,xin1 xiang3 shi4 cheng2,to have one's wishes come true/wish you the best!
想起,xiang3 qi3,to recall/to think of/to call to mind
理想,li3 xiang3,an ideal/a dream/ideal/perfect
想到,xiang3 dao4,to think of/to call to mind/to anticipate
想不到,xiang3 bu5 dao4,unexpected/hard to imagine/it had not occurred to me/who could have thought that
想法,xiang3 fa3,way of thinking; opinion; notion/to think of a way (to do sth)/CL:個|个[ge4]
着想,zhuo2 xiang3,to give thought (to others)/to consider (other people's needs)/also pr. [zhao2 xiang3]
事实上,shi4 shi2 shang4,in fact/in reality/actually/as a matter of fact/de facto/ipso facto
其实,qi2 shi2,actually; in fact; really
实行,shi2 xing2,to implement/to carry out/to put into practice
实现,shi2 xian4,to achieve/to implement/to realize/to bring about
实在,shi2 zai4,really/actually/indeed/true/real/honest/dependable/(philosophy) reality
现实,xian4 shi2,reality/actuality/real/actual/realistic/pragmatic/materialistic/self-interested
如实,ru2 shi2,as things really are/realistic
事实,shi4 shi2,fact/CL:個|个[ge4]
实地,shi2 di4,on-site
着实,zhuo2 shi2,truly/indeed/severely/harshly
实用,shi2 yong4,practical/functional/pragmatic/applied (science)
生日,sheng1 ri4,birthday/CL:個|个[ge4]
日后,ri4 hou4,sometime/someday (in the future)
当日,dang1 ri4,on that day
日前,ri4 qian2,the other day/a few days ago
过日子,guo4 ri4 zi5,to live one's life/to pass one's days/to get along
日子,ri4 zi5,day/a (calendar) date/days of one's life
军事,jun1 shi4,military affairs/(attributive) military
军人,jun1 ren2,serviceman/soldier/military personnel
学者,xue2 zhe3,scholar
